Titel,Projekt,Livsmedelsnummer,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag
Lamm gryta m lök tomat,2014 2015 NKMT beräknade livsmedel,1075,Ovis aries,Kötträtt (A0799),Lamm (B1669),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Pepparrotskött nötkött lök morötter sås,2014 2015 NKMT beräknade livsmedel,1078,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Renskav brynt,2014 2015 NKMT beräknade livsmedel,1080,Rangifer tarandus ssp. tarandus,Kött (A0794),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)",Skivad (E0137),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Renskavsgryta,2014 2015 NKMT beräknade livsmedel,1081,Rangifer tarandus ssp. tarandus,Kötträtt (A0799),Ren (B1619),"Skelett kött del, utan ben och utan skinn (C0268)","Delad i bitar < 0,3 cm (riven) (E0100)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Skinksås,2014 2015 NKMT beräknade livsmedel,1082,Bos taurus,Sås (A0862),Ko (B1201),Mjölk (C0235),"Vätska, hög viskositet, med fasta bitar (E0138)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalops,2014 2015 NKMT beräknade livsmedel,1083,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Biff Stroganoff nötkött fryst,1989,1087,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Tillagningsmetod okänd (G0001),"Smaksatt, krydda eller ört tillsatt (H0227); Spannmål tillförd (H0152)",Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Dillkött nötkött m sås fryst,1989,1088,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Delvis värmebehandlad (F0018),Tillagningsmetod okänd (G0001),Kryddor eller örter tillsatt (H0151); Spannmål tillförd (H0152); Vatten tillfört (H0148),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Kinesisk rätt friterat fläskkött m grönsaker,1989,1089,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Fast (E0151),Fullständigt upphettad (F0014),Friterad (G0029),Fett eller olja vid fritering (H0233); Grönsak tillförd (H0212); Vete tillfört (H0319),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Chop Suey fläskfilé gris restaurang,2002 Blandade produkter,1090,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokt (G0014),Grönsak tillförd (H0212),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Restaurang tillverkat (Z0110)
Nasi Goreng griskött restaurang,2002 Blandade produkter,1091,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Lagad i lite fett och olja (G0026),Grönsak tillförd (H0212); Kött tillfört (H0191); Ris tillfört (H0321); Ägg tillförd (H0186),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Restaurang tillverkat (Z0110)
Kalvfrikassé fryst,1989,1094,Bos taurus,Kötträtt (A0799),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokt (G0014),Saltad (H0173); Vatten tillfört (H0148),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Kalops nötkött fryst sås,1989,1095,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Stekt (G0028),Fett tillfört (H0221); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148); Vete tillfört (H0319),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),"Högrev, kotlett (Z0023)"
Köttsoppa nötkött konserv tillagad m vatten,1999 Färdig mat,1096,Bos taurus,Soppa (A0865),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokt (G0014),Grönsak tillförd (H0212); Vatten tillfört (H0148),Steriliserad/hermetiserad (J0123),Utan förpackningsmedium (K0003),Burk (M0215); Metall (M0151),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Biff m grönsaker o sås nötkött kinesisk rätt,1989,1097,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Stekt (G0028),"Fett tillfört (H0221); Grönsak tillförd (H0212); Smaksatt, kryddor (H0229); Spannmål tillförd (H0152); Vatten tillfört (H0148)",Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Styckningsdetalj inte känd (Z0018)
Kyckling kycklingburgare ca 7% fett fryst rå,1997 Kyckling,1099,Gallus gallus domesticus L.,,Kyckling (B1198),"Skelett kött del, utan ben och utan skinn (C0268)",Mald (E0136),Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Kött förpackning (N0020),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186); Malningsgrad okänd (Z0019); Styckningsdetalj Fågel (Z0156)
Kycklingköttbullar fett 12% stekta frysta,1997 Kyckling,1100,Gallus gallus domesticus L.,Korv eller liknande produkt (A0798),Kyckling (B1198),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Stekt (G0028),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Fett <15% (Z0186); Styckningsdetalj Fågel (Z0156)
Nöt hamburgare fryst rå,1989,1101,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),Styckningsdetalj inte känd (Z0018)
Köttbullar råa frysta,1989,1102,Sus scrofa,Kötträtt (A0799),Gris och nötkött (B1105),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),"Grönsak tillförd (H0212); Mjölk tillförd (H0184); Smaksatt, krydda eller ört tillsatt (H0227); Spannmål tillförd (H0152); Vatten tillfört (H0148); Ägg tillförd (H0186)",Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),
Pannbiff rå fryst,1989,1103,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Mjölk tillförd (H0184); Saltad (H0173); Spannmål tillförd (H0152),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Styckningsdetalj inte känd (Z0018)
Biff à la Lindström stekt hemlagad,1984 Analyserade standardrätter,1105,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Stekt (G0028),Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151); Saltad (H0173); Vatten tillfört (H0148); Ägg tillförd (H0186),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Köttbullar stekta hemlagade,1984 Analyserade standardrätter,1106,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Stekt (G0028),"Grönsak tillförd (H0212); Mjölk tillförd (H0184); Smaksatt, krydda eller ört tillsatt (H0227); Spannmål tillförd (H0152); Vatten tillfört (H0148); Ägg tillförd (H0186)",Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Köttfärslimpa ugnsstekt hemlagad,1984 Analyserade standardrätter,1107,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),"Fett tillfört (H0221); Grönsak tillförd (H0212); Mjölk tillförd (H0184); Smaksatt, krydda eller ört tillsatt (H0227); Spannmål tillförd (H0152); Vatten tillfört (H0148); Ägg tillförd (H0186)",Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Köttfärssås hemlagad i gjutjärnsstekpanna,1984 Analyserade standardrätter,1108,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Delad eller mald (E0122),Fullständigt upphettad (F0014),Stekt (G0028),Grönsak tillförd (H0212); Vatten tillfört (H0148),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Hemlagat (Z0109)
Pannbiff fläskfärs stekt,2014 2015 NKMT beräknade livsmedel,1109,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hamburgare nötfärs fett 10% stekt,2014 2015 NKMT beräknade livsmedel,1110,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 0,3-1,5 cm (E0140)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Hamburgare nötfärs fett 15% stekt,2014 2015 NKMT beräknade livsmedel,1111,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 0,3-1,5 cm (E0140)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Järpar blandfärs stekta,2014 2015 NKMT beräknade livsmedel,1112,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Kalvfrikadeller,2014 2015 NKMT beräknade livsmedel,1113,Bos taurus,Kötträtt (A0799),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Wallenbergare kalvfärs stekt,2014 2015 NKMT beräknade livsmedel,1114,Bos taurus,Kötträtt (A0799),Kalv (B1349),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärssås nötfärs,2014 2015 NKMT beräknade livsmedel,1115,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärssoppa,2014 2015 NKMT beräknade livsmedel,1116,Bos taurus,Kötträtt (A0799),Ko (B1201),"Skelett kött del, utan ben och utan skinn (C0268)","Vätska, låg viskositet, med fasta bitar (Soppa) (E0149)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttbullar nötfärs stekta,2014 2015 NKMT beräknade livsmedel,1119,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttbullar fläskfärs stekta,2014 2015 NKMT beräknade livsmedel,1120,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärssås fläskfärs,2014 2015 NKMT beräknade livsmedel,1121,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)",Halvflytande med fasta bitar (E0110),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Nöt färs tacokryddad stekt,2014 2015 NKMT beräknade livsmedel,1124,Bos taurus,Kött (A0794),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)",Mald (E0136),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Lammfärsbiff stekt,2014 2015 NKMT beräknade livsmedel,1125,Ovis aries,Kötträtt (A0799),Lamm (B1669),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärslimpa fläskfärs,2014 2015 NKMT beräknade livsmedel,1126,Sus scrofa,Kötträtt (A0799),Gris (B1136),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Köttfärslimpa blandfärs,2014 2015 NKMT beräknade livsmedel,1127,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Ugn eller grill,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
Pannbiff nötfärs stekt,2014 2015 NKMT beräknade livsmedel,1128,Bos taurus,Kötträtt (A0799),Nötkreatur (B1161),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad, tjocklek 1,5-7 cm (E0105)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),
