Livsmedelsnamn,Livsmedelsnummer,Energi (kcal),Energi (kJ),Kolhydrater (g),Fett (g),Protein (g),Fibrer (g),Vatten (g),Alkohol (g),Aska (g),Monosackarider (g),Disackarider (g),Sackaros (g),Fullkorn totalt (g),Sockerarter (g),Summa mättade fettsyror (g),Fettsyra 4:0-10:0 (g),Fettsyra 12:0 (g),Fettsyra 14:0 (g),Fettsyra 16:0 (g),Fettsyra 18:0 (g),Fettsyra 20:0 (g),Summa enkelomättade fettsyror (g),Fettsyra 16:1 (g),Fettsyra 18:1 (g),Summa fleromättade fettsyror (g),Fettsyra 18:2 (g),Fettsyra 18:3 (g),Fettsyra 20:4 (g),EPA (Fettsyra 20:5) (g),DPA (Fettsyra 22:5) (g),DHA (Fettsyra 22:6) (g),Kolesterol (mg),Retinol (µg),Vitamin A (µg),β-Karoten (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Tiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinekvivalenter (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folat (µg),Fosfor (mg),Jod (µg),Järn (mg),Kalcium (mg),Kalium (mg),Magnesium (mg),Natrium (mg),Salt (g),Selen (µg),Zink (mg),Avfall (skal etc.) (%),Projekt,Vetenskapligt namn,Livsmedelsgrupp enligt EuroFIR,Artklassificering,Del av växt/djur,Fysisk form,Värmebehandling,Tillagningsmetod,Industriell process,Konserveringsmetod,Förpackningsmedium,Förpackningstyp,Förpackningsmaterial,Etikettinformation,Ursprung,Utmärkande drag,Exempelvis,Visningsnamn,Söksträngar
Strömming kokt,1329,132.7,555.1,0,4.9,22,0,69.5,0,2.78,0,0,0,0,NULL,1.26,0,0,0.29,0.83,0.07,0,1.66,0.23,0.88,1.54,0.17,0.11,0.05,0.32,0.04,0.61,90.03,20.7,20.7,0,8.02,1.03,NULL,0.01,0.14,0,4.63,8.63,0.2,7.4,18.3,339.6,74.3,0.97,89.9,376.1,40,383.1,0.95,31.46,2.16,51.4,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk (A0802),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Strömming panerad stekt,1330,173.3,725.3,5.75,8.83,17.38,0.7,62.91,0,3.81,0.05,0.13,0.04,5,NULL,1.36,0.01,0,0.19,0.87,0.17,0.03,4.34,0.16,3.77,2.56,1.27,0.52,0.03,0.19,0.02,0.37,54.22,31.7,32.7,12,6.65,2.26,NULL,0.03,0.15,0,3.72,6.87,0.19,4.71,16.6,278.9,NULL,0.99,72.9,347,37.7,935.4,2.33,23.87,1.77,NULL,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Ättikströmming,1331,159.8,668.3,9.75,7.01,13.93,0.8,64.47,0,3.54,0.41,4,3.93,4,NULL,1.08,0.01,0,0.15,0.69,0.14,0.02,3.45,0.13,2.99,2.03,1.01,0.41,0.02,0.15,0.02,0.29,43,25.2,26,9,5.27,1.8,NULL,0.03,0.12,1.1,2.97,5.49,0.17,3.74,16.2,225.8,NULL,0.81,62.1,299.9,31.4,925.5,2.31,18.93,1.42,NULL,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,Ättikströmming,ättikströmming
Kräftströmming,1332,105,439.4,1,3.7,16.61,0.38,73.86,0,3.83,1,0,0,0,NULL,0.95,0,0,0.22,0.63,0.06,0,1.24,0.17,0.66,1.18,0.16,0.09,0.04,0.24,0.03,0.45,66.9,15.4,25.7,124,5.96,1.2,NULL,0.02,0.11,2.3,3.7,6.73,0.17,5.5,18.5,260.5,NULL,0.96,74,343.8,34.1,907.8,2.27,23.38,1.65,38.3,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,Kräftströmming,kräftströmming
Strömming filé stekt,1333,111.8,467.8,0,3.53,19.83,0,73.51,0,2.38,0,0,0,0,NULL,0.91,0,0,0.21,0.6,0.05,0,1.2,0.17,0.64,1.11,0.12,0.08,0.04,0.23,0.03,0.44,64.93,18.6,18.6,0,7.68,0.93,NULL,0.01,0.17,0,4.17,7.78,0.2,5.64,15.5,306.1,60.6,0.87,80.8,384.3,36,295.3,0.73,28.36,1.94,46.3,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk (A0802),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Tonfisk stekt,1334,142,594.3,0,4.31,25.59,0,68.25,0,1.85,0,0,0,0,NULL,1.11,0,0,0.12,0.71,0.27,0,1.41,0.14,0.81,1.26,0.04,0,0.04,0.25,0.11,0.78,33.39,719.4,719.4,0,4.2,1.1,NULL,0.21,0.25,0,9.5,14.19,0.4,5.7,1.7,279.3,NULL,1.12,9.6,235.4,55.1,264.2,0.66,40.09,0.66,43.9,2014 2015 NKMT beräknade livsmedel,Thunnus thynnus,Fisk (A0802),Tonfisk (B1120),"Skelett kött del, utan ben och utan skinn (C0268)",Delad i trekantiga bitar (ost eller kaka) (E0107),Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Torsk filé kokt,1335,100.5,420.4,0,0.64,23.34,0,74.83,0,2.21,0,0,0,0,NULL,0.1,0,0,0,0.08,0.01,0,0.06,0.01,0.05,0.27,0.01,0,0.01,0.04,0.01,0.19,62.1,3,3,0,1.89,0.86,NULL,0.05,0.04,0,2.77,7.06,0.13,1.18,15.3,279,270.9,0.16,16.6,387,34.9,392.5,0.98,35.03,0.77,43.6,2014 2015 NKMT beräknade livsmedel,Gadus morhua,Fisk (A0802),Torsk (B1423),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Torsk panerad stekt,1336,170.2,712.1,6.06,7.7,18.94,0.3,65.28,0,2.42,0.1,0.14,0.02,1,NULL,0.95,0.01,0,0.02,0.62,0.21,0.03,4.04,0.05,3.89,2.07,1.35,0.49,0.02,0.03,0.01,0.15,74.47,39.6,40.7,13,1.83,2.69,NULL,0.07,0.08,0.1,2.28,5.81,0.13,0.85,18.9,233.1,NULL,0.39,20,348.3,30.1,572.5,1.43,27.74,0.76,NULL,2014 2015 NKMT beräknade livsmedel,Gadus morhua,Fisk- och skaldjursrätt (A0804),Torsk (B1423),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),(),,,
Torsk stekt,1337,95.6,400.2,0,0.61,22.22,0,76.18,0,1.96,0,0,0,0,NULL,0.1,0,0,0,0.07,0.01,0,0.06,0.01,0.05,0.26,0.01,0,0.01,0.04,0.01,0.18,59.11,2.8,2.8,0,1.91,0.82,NULL,0.05,0.05,0,2.64,6.72,0.14,0.95,13.7,265.5,250.9,0.15,15.6,417.6,33.2,318.3,0.8,33.34,0.73,41.5,2014 2015 NKMT beräknade livsmedel,Gadus morhua,Fisk (A0802),Torsk (B1423),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Vitling kokt,1338,101.8,425.9,0,0.77,23.39,0,73.52,0,2.33,0,0,0,0,NULL,0.12,0,0,0.01,0.08,0.03,0,0.22,0.03,0.12,0.19,0.01,0,0.01,0.05,0.01,0.1,63.9,3.8,3.8,0,0.72,0.29,NULL,0.05,0.04,0,2.56,6.85,0.16,0.66,13,234.4,NULL,0.39,65.1,354.8,30.9,379.5,0.96,31.95,0.64,66.5,2014 2015 NKMT beräknade livsmedel,Merlangius merlangus,Fisk (A0802),Vitling (B2644),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kokning,Ingen industriell process tillämpad (H0003),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),Färg på fiskkött (Z0055),,,
Vitling filé panerad stekt,1339,171.1,715.6,6.05,7.78,19,0.3,64.33,0,2.51,0.1,0.14,0.02,1,NULL,0.96,0.01,0,0.03,0.62,0.22,0.03,4.14,0.06,3.92,2,1.35,0.49,0.02,0.04,0.01,0.08,75.79,40.2,41.3,12,0.91,2.27,NULL,0.07,0.08,0.1,2.12,5.66,0.16,0.53,17.3,200.7,NULL,0.55,55.6,321.9,27.2,562.7,1.41,25.52,0.67,NULL,2014 2015 NKMT beräknade livsmedel,Merlangius merlangus,Fisk- och skaldjursrätt (A0804),Vitling (B2644),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Fisk varmrökt,1340,179.6,751.1,0,10.05,22.32,0,65.67,0,1.97,0,0,0,0,NULL,2.17,0,0,0.37,1.4,0.28,0,4.12,0.76,2.63,2.76,0.32,0.16,0.08,0.44,0.18,1.07,72.15,13.5,13.5,0,8.39,1.21,NULL,0.2,0.16,0,8.15,12.24,0.42,10.3,12.7,211.2,NULL,0.41,16.7,363.5,24.8,434.2,1.08,26.07,0.6,25.1,2014 2015 NKMT beräknade livsmedel,Merlangius merlangus,Fisk- och skaldjursrätt (A0804),"Fisk, benig (B1365)",Skelett kött del (C0175),Fast (E0151),Värmebehandlad (F0022),Stekning,Rökt eller rök smaksatt (H0172),Varmrökt (J0106),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Fiskbullar frysta,1344,78.1,326.8,6.2,2.4,7.8,0,82,0,1.6,0,0,0,0,NULL,1.31,0.15,0.06,0.22,0.6,0.22,0.01,0.62,0.04,0.53,0.23,0.06,0.01,0.01,0.04,0,0,35,40,40,0,0.3,0.16,NULL,0.04,0.04,0,1,2.43,0.06,0.5,4,122,NULL,0.2,58,207,10,492,1.23,20,0.4,0,1989,Merlangius merlangus,Fisk- och skaldjursprodukt (A0803),Fisk (B1222),"Skelett kött del, utan ben och utan skinn (C0268)","Hel, formad (E0147)",Värmebehandling okänd (F0001),Tillagningsmetod okänd (G0001),Industriell process inte känd (H0001),Fryst (J0136),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,,
Laxpastej lättrökt,1346,354.7,1484,10,30,12,0,40,0,8,0,0,0,0,NULL,2.02,0,0,0.09,1.31,0.37,0.17,16.2,0.29,14.4,8.83,5.39,3.11,0,0.09,0.03,0.23,18,100,100,0,1.5,5.5,NULL,0.33,0.46,0,0.8,3,0.1,4,10,330,NULL,1,43,100,15,2000,5,10,3,0,1989,Salmo salar,Fisk- och skaldjursprodukt (A0803),Lax (B1587),"Skelett kött del, utan ben och utan skinn (C0268)",Halvfast med fasta bitar (E0134),Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Fett tillfört (H0221); Kryddor eller örter tillsatt (H0151); Rökt eller rök smaksatt (H0172),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Laxpastej,"laxpastej, laxpastej lättrökt"
Böcklingpastej,1347,363.5,1521,9,31,13,0,39,0,8,0,0,0,0,NULL,3.95,0,0,0.35,2.65,0.71,0.12,12,0.35,10.7,12.5,9.34,2.68,0.03,0.24,0.03,0.24,18,100,100,0,1.5,5.5,NULL,0.33,0.46,0,0.8,3.18,0.1,4,3,330,NULL,1,43,100,15,2000,5,10,3,0,1989,Clupea harengus (L.),Fisk- och skaldjursprodukt (A0803),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)",Halvfast med fasta bitar (E0134),Fullständigt upphettad (F0014),Bakad eller rostad i ugn (G0005),Fett tillfört (H0221); Kryddor eller örter tillsatt (H0151); Rökt eller rök smaksatt (H0172); Vete tillfört (H0319),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Böcklingpastej,böcklingpastej
Fiskpaté m räkor,1356,217,907.8,2.82,16.03,15.29,0.13,62.82,0,2.5,0.11,0.95,0.01,0,NULL,7.68,0.73,0.32,1.22,3.94,1.21,0.03,4.79,0.53,3.75,1.89,0.51,0.17,0.1,0.28,0.14,0.51,116.38,116.7,134.5,213,2.89,2.06,NULL,0.07,0.12,2.4,3.33,6.25,0.17,1.95,17.5,181,NULL,0.47,49.9,228.5,24.8,628.6,1.57,21.03,0.72,NULL,2014 2015 NKMT beräknade livsmedel,Salmo salar,Fisk- och skaldjursrätt (A0804),Fisk och skaldjur (B1021),"Skelett kött del, utan ben och utan skinn (C0268)",Mald (E0136),Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,Fiskpaté med räkor,"fiskpaté med räkor, fiskpaté"
Fiskfärs kokt,1357,101.9,426.4,7.29,1.71,13.93,0.27,74.78,0,2.42,0.1,2.09,0.02,0,NULL,0.9,0.09,0.04,0.14,0.45,0.14,0,0.37,0.03,0.32,0.19,0.04,0.02,0.01,0.03,0.01,0.08,39.95,12.9,33,241,1.26,0.58,NULL,0.07,0.11,3.6,1.64,4.26,0.1,0.93,13.9,188.2,NULL,0.29,77.9,276.2,25.4,543.6,1.36,17.84,0.62,NULL,2014 2015 NKMT beräknade livsmedel,Salmo salar,Fisk- och skaldjursrätt (A0804),"Fisk, benig (B1365)","Skelett kött del, utan ben och utan skinn (C0268)","Halvfast med mjuk konsistens, (mosad, bredbar) (E0119)",Fullständigt upphettad (F0014),Kokning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sillbullar,1361,188.7,789.4,13.54,10.7,8.85,1.62,63.75,0,1.53,0.6,0.78,0.36,2,NULL,1.95,0.02,0.01,0.25,1.16,0.38,0.04,5.4,0.23,4.39,2.61,1.41,0.55,0.02,0.16,0.02,0.26,25.01,22.4,23.9,17,1.34,1.94,NULL,0.12,0.09,5.4,2.61,4.22,0.17,0.79,12.4,87.3,NULL,0.78,22.4,249.7,21.4,336.2,0.84,6.75,0.9,NULL,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)",Mald (E0136),Fullständigt upphettad (F0014),Stekning,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,Sillbullar,sillbullar
Sillsallad,1362,93.8,392.3,10.34,3.55,4.35,1.43,79.33,0,1.03,2.51,3.53,3.53,0,NULL,0.8,0,0,0.24,0.49,0.03,0,1.45,0.19,0.45,0.91,0.09,0.06,0.01,0.19,0.02,0.31,17.36,2.2,3.1,11,1.09,0.32,NULL,0.02,0.04,5.5,1,1.81,0.08,1.13,11.4,28.6,NULL,0.52,11.3,145.6,10.4,316.8,0.79,4.77,0.27,4.3,2014 2015 NKMT beräknade livsmedel,Clupea harengus (L.),Fisk- och skaldjursrätt (A0804),"Sill, strömming (B1586)","Skelett kött del, utan ben och utan skinn (C0268)","Delad i halvor, bitar (E0133)",Ej värmebehandlad (rå) (F0003),Kalla rätter,Ingrediens tillförd (H0225),konserverad i saltlag (J0137); Kyld (J0131),Förpackad i syrad saltlag (K0022),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,Sillsallad,sillsallad
Sushi lax,1363,150,627.6,17.83,4.81,8.42,0.43,67.38,0,1.13,0.06,3.14,3.14,0,NULL,1.02,0,0,0.14,0.69,0.14,0,1.97,0.39,1.45,1.33,0.21,0.08,0.04,0.19,0.1,0.51,27.1,11.6,11.7,1,4.84,0.5,NULL,0.12,0.05,4.9,2.57,4.1,0.41,2.4,12.2,100.3,NULL,0.41,11.7,167.8,17,167.8,0.42,10.07,0.4,NULL,2014 2015 NKMT beräknade livsmedel,Salmo salar,Ris eller annat spannmål (A0814),Ris (B1322),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sushi hälleflundra,1364,133.3,557.6,19.06,3.12,6.73,0.46,69.75,0,0.89,0.06,3.36,3.36,0,NULL,0.49,0,0,0.09,0.32,0.07,0,1.78,0.32,0.79,0.45,0.07,0.02,0.03,0.12,0.03,0.15,17.24,4.7,4.7,1,3.24,0.88,NULL,0.04,0.03,5.2,1.27,2.47,0.12,0.25,3.5,86.9,NULL,0.16,5.9,177.8,15.3,181.5,0.45,20.7,0.39,NULL,2014 2015 NKMT beräknade livsmedel,Hippoglossus hippoglossus,Ris eller annat spannmål (A0814),Ris (B1322),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sushi tonfisk,1365,132.5,554.4,21.26,1.51,7.82,0.51,67.97,0,0.92,0.07,3.75,3.75,0,NULL,0.37,0,0,0.04,0.25,0.09,0,0.49,0.04,0.3,0.45,0.07,0.01,0.01,0.08,0.03,0.24,10.23,176.3,176.4,1,1.21,0.27,NULL,0.1,0.08,5.8,2.63,4.04,0.16,2.54,3,95.7,NULL,0.4,6.8,115.6,22.6,184.3,0.46,9.83,0.45,NULL,2014 2015 NKMT beräknade livsmedel,Thunnus thynnus,Ris eller annat spannmål (A0814),Ris (B1322),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sushi rulle crabfish gurka,1366,111.2,465.1,23.13,0.27,3.54,0.24,71.74,0,1.15,0.21,3.71,3.71,0,NULL,0.04,0,0,0,0.04,0,0,0.07,0,0.06,0.09,0.06,0,0,0.01,0,0.02,5.9,0.3,2,20,0.16,0.09,NULL,0.04,0.02,1,0.57,1.2,0.05,0.29,3.8,52.3,NULL,0.19,17.1,202.3,12.4,245.5,0.61,3.22,0.42,NULL,2014 2015 NKMT beräknade livsmedel,Thunnus thynnus,Ris eller annat spannmål (A0814),Ris (B1322),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sushi olika sorter,1368,131.3,549.6,20.37,2.46,6.41,0.39,69.33,0,1.06,0.11,3.47,3.47,0,NULL,0.5,0,0,0.07,0.34,0.07,0,1.06,0.19,0.69,0.62,0.11,0.03,0.02,0.1,0.04,0.24,15.58,34.2,34.8,7,2.41,0.39,NULL,0.08,0.04,3.8,1.7,2.85,0.2,1.36,6.4,81.3,NULL,0.29,11.7,172.3,16.1,198.8,0.5,9.52,0.41,NULL,2014 2015 NKMT beräknade livsmedel,Solanum tuberosum,Ris eller annat spannmål (A0814),Ris (B1322),"Frö eller kärna, skal borttaget (C0134)","Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Kalla rätter,Ingrediens tillförd (H0225),Ej konserverad (J0003),Utan förpackningsmedium (K0003),Opaketerad produkt (M0003),Oförpackad (N0003),Människoföda (P0026),Sverige (R0376),(),,,
Sushi blandning 7 bitar,1375,158.8,664.6,29,1.66,6.14,0.72,61.06,0,1.44,0.43,1.73,0.89,0,NULL,0.29,0,0,0.05,0.2,0.03,0,0.47,0.06,0.23,0.33,0.11,0.01,0.02,0.06,0.02,0.08,10,7,8.1,97,0.99,0.4,2,0.04,0.04,0.2,1.53,2.7,0.14,0.58,16.8,72.2,41.8,0.46,18.5,109,14,423,1.06,9.8,0.45,0,2002 Fast food,Oryza sativa L.,Fisk- och skaldjursrätt (A0804),Ris (B1322),"Mjöl, grodd och kli borttaget (Endosperm) (C0208)","Hel, formad (E0147)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Fisk och skaldjur tillfört (H0153); Grönsak tillförd (H0212); Kryddor eller örter tillsatt (H0151),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Sverige (R0376),,,,
Torskrom sillrom m.fl. rå,1376,119.9,501.6,0,2.3,24.5,0,71.5,0,1.7,0,0,0,0,NULL,0.36,0,0,0.03,0.29,0.03,0,0.41,0.09,0.26,0.83,0.03,0,0,0.29,0,0.5,360,0,0,0,7,10,NULL,0.75,0.76,14,1.4,5.89,0.17,18,12,500,NULL,0.6,17,260,25,130,0.33,20,2.1,0,1989,Oryza sativa L.,Fisk- och skaldjursprodukt (A0803),Fisk (B1222),Rom (C0202),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Torskrom/sillrom,"torskrom, sillrom"
Kaviar orökt,1377,187.2,783.4,23.6,3.3,15.3,0,48,0,9.8,0,10,10,0,NULL,0.6,0,0,0.04,0.51,0.09,0.01,0.7,0.13,0.62,1.1,0.3,0.02,0.05,0.33,0.03,0.58,300,0,0,0,2.5,7.5,NULL,0.33,0.46,0,0.5,3.31,0.13,5.7,6,255,NULL,0.8,26,240,19,3150,7.88,10,2,0,1989,Gadus morhua,Fisk- och skaldjursprodukt (A0803),Torsk (B1423),Rom (C0202),"Hel, naturligt formad (E0150)",Ej värmebehandlad (rå) (F0003),Tillagningsmetod ej tillämplig (G0003),Industriell process inte känd (H0001),Kyld (J0131),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,,Orökt kaviar,"orökt kaviar, kaviar orökt"
Kaviar typ Kalles,1378,393.4,1646,16,33,9,0,34.3,0,7.71,0,12.6,12.6,0,NULL,2.4,0,0,0.05,1.52,0.53,0.17,18.06,0.15,17.3,9.04,5.39,2.65,0.04,0,0.02,0.58,115.6,17,18.5,16,1.38,6.59,NULL,0.17,0.28,32.6,0.6,2.3,0.08,8,31.8,226.9,44,0.51,10.9,252.5,8.5,4210.3,10.53,38.36,1.99,0,1989,Gadus morhua,Fisk- och skaldjursprodukt (A0803),Torsk (B1423),Rom (C0202),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Rökt eller rök smaksatt (H0172),Varmrökt (J0106),Utan förpackningsmedium (K0003),Okänd förpackning (M0001),Okänt förpackningsmaterial (N0001),Människoföda (P0026),Geografisk plats eller region inte känd (R0001),,Kalles kaviar,Kalles kaviar,"kvariar, kalles, kaviar kalles, kalles kaviar"
Lättkaviar Kalles,1379,269.6,1128.2,23,15.79,9,0,44.52,0,7.71,0,12.6,12.6,0,NULL,1.15,0,0,0.02,0.73,0.25,0.08,8.64,0.07,8.28,4.32,2.58,1.27,0.02,0,0.01,0.28,115.6,17,18.5,16,1.38,6.59,11.4,0.17,0.28,32.6,0.6,2.3,0.08,8,31.8,226.9,44,0.51,10.9,252.5,8.5,4210.3,10.53,38.36,1.99,0,2005 Riksmaten2,Gadus morhua,Fisk- och skaldjursprodukt (A0803),Fisk (B1222),Rom (C0202),"Hel, naturligt formad (E0150)",Fullständigt upphettad (F0014),Tillagningsmetod ej tillämplig (G0003),Saltad (H0173); Socker eller sirap tillfört (H0136); Vatten tillfört (H0148); Vegetabiliskt fett eller olja tillfört (H0263),Konserverad genom att tillföra kemikalie (J0100); Kyld (J0131),Utan förpackningsmedium (K0003),Metall (M0151); Tub (M0200),Metall (N0041),Människoföda (P0026),Sverige (R0376),,,Kalles lättkaviar,"lättkaviar kalles, kalles lättkaviar, lättkaviar"
